WMU,year,method,ratio_bull_cows,ratio_calf_cows
258,2016,distance,0.442028986,0.637681159
260,2016,distance,0.15,0.9
500,2016,distance,0.72,0.7
503,2015,distance,0.29,0.55
504,2015,distance,0.62,0.68
509,2016,distance,0.32,0.66
511,2014,distance,0.42,0.31
512,2013,distance,0.35,0.31
515,2019,distance,0.29,0.75
516,2018,distance,0.38,0.48
517,2018,distance,0.57,0.59
518,2013,distance,0.91,0.64
519,2015,distance,0.3,0.41
520,2018,distance,0.78,0.52
523,2018,distance,0.25,0.55
526,2016,distance,0.612676056,0.577464789
527,2020,distance,0.29,0.58
528,2019,distance,0.55,0.4
529,2009,distance,0.6,0.87
530,2018,distance,0.59,0.48
531,2015,distance,0.97,0.35
541,2013,distance,0.84,0.57
542,2016,distance,0.35,0.45
726,2014,distance,0.222222222,0.333333333
841,2019,distance,0.5,0.42
524,2019,distance,0.9,0.27
525,2019,distance,0.73,0.46
508,2019,distance,0.31,0.68
501,2018,distance,0.25,0.64
347,2019,distance,0.37,0.54
256,2019,distance,0.39,1.09
246,2019,distance,0.38,1
522,2020,distance,0.57,0.46
